label	sub_label	user	file_id	acc_magnitude_kurtosis	acc_magnitude_rms	acc_magnitude_sma	acc_magnitude_std	acc_magnitude_wl	acc_magnitude_zcr	acc_x_kurtosis	acc_x_rms	acc_x_sma	acc_x_std	acc_x_wl	acc_x_zcr	acc_y_kurtosis	acc_y_rms	acc_y_sma	acc_y_std	acc_y_wl	acc_y_zcr	acc_z_kurtosis	acc_z_rms	acc_z_sma	acc_z_std	acc_z_wl	acc_z_zcr	gyro_magnitude_kurtosis	gyro_magnitude_rms	gyro_magnitude_sma	gyro_magnitude_std	gyro_magnitude_wl	gyro_magnitude_zcr	gyro_x_kurtosis	gyro_x_rms	gyro_x_sma	gyro_x_std	gyro_x_wl	gyro_x_zcr	gyro_y_kurtosis	gyro_y_rms	gyro_y_sma	gyro_y_std	gyro_y_wl	gyro_y_zcr	gyro_z_kurtosis	gyro_z_rms	gyro_z_sma	gyro_z_std	gyro_z_wl	gyro_z_zcr
shake	10201	114	114_10201_260411000440541	-0.42384267	19.394625	1063.9032	9.990554	248.59575	0.0	0.252774	14.990986	674.271	14.9895735	266.35468	0.078125	-0.37441444	8.776594	512.8896	7.2646093	113.09437	0.0625	2.3802533	8.625151	459.4417	6.2125883	121.01699	0.09375	-0.5780606	3.340338	156.94627	2.2680728	40.429337	0.0	1.7221217	1.2684696	52.409298	1.2652636	25.362339	0.1875	0.94721866	0.68475956	29.044327	0.6811296	22.736538	0.234375	0.49324203	3.0132952	136.04596	3.013186	47.323235	0.09375
shake	10201	114	114_10201_260411000445260	-0.13672614	20.466295	1129.8947	11.215523	276.91193	0.0	0.48605084	16.597097	746.02637	16.597073	312.1683	0.07575758	-0.03767705	9.558237	565.2319	8.011141	134.91687	0.060606062	0.91916704	7.2142687	400.7248	4.937971	108.198654	0.060606062	-0.32185364	3.3740618	164.08931	2.2810287	42.94031	0.0	1.0459299	1.2425915	55.788303	1.2407515	23.970942	0.16666667	0.93656135	0.7168255	34.422226	0.7083278	21.380264	0.13636364	0.7297375	3.053919	140.19595	3.0537572	49.8235	0.121212125
shake	10201	114	114_10201_260411000449320	-0.48841596	20.91636	1017.68835	11.385065	253.7946	0.0	-0.18544555	17.84871	712.37604	17.757442	272.2422	0.10344828	-0.8290751	7.5768156	399.68814	5.85928	85.40521	0.05172414	4.0819483	7.8428025	364.72125	5.052875	91.91491	0.05172414	-0.90822506	3.3478374	136.4637	2.3816469	40.949776	0.0	1.8811612	1.0980005	39.24944	1.0979034	19.829588	0.18965517	1.99999	0.74546146	28.041592	0.74402213	18.580061	0.22413793	0.05381465	3.073548	120.04424	3.0623531	46.31087	0.12068965
shake	10201	114	114_10201_260411000455175	-0.10523343	20.368853	924.2137	11.043753	212.69035	0.0	-0.19867444	17.073599	656.29913	16.943895	237.30995	0.09259259	-0.16380453	7.7335134	370.47653	5.8598714	84.084404	0.074074075	3.9410143	7.973404	333.63846	5.163031	80.68537	0.037037037	-0.9498658	3.0965798	120.30088	2.150753	37.128986	0.0	1.4631891	1.1185983	38.059155	1.1181004	16.686684	0.12962963	1.463213	0.56224895	20.230614	0.5611204	12.212712	0.14814815	-0.009737253	2.8322113	106.10201	2.8282871	41.331116	0.12962963
shake	10201	114	114_10201_260411000457223	-0.26587605	18.659145	924.10046	9.711371	213.4011	0.0	-0.13373709	15.814679	645.0223	15.721218	238.17798	0.13793103	-0.4879644	7.7897215	405.5368	5.071264	74.63693	0.06896552	4.7189493	6.113907	301.34973	3.253457	62.86605	0.03448276	-0.80783534	2.8804379	121.65183	1.9742458	32.60903	0.0	2.293179	0.7563458	28.164526	0.7562504	15.605921	0.15517241	1.7689743	0.6209805	24.222012	0.62068605	13.628393	0.1724138	0.03599596	2.7091045	110.864494	2.7062283	40.797066	0.12068965
shake	10201	114	114_10201_260411000459215	-0.30985546	18.248796	954.4521	9.39136	207.34544	0.0	-0.27907705	15.442209	674.894	15.310581	223.15224	0.08196721	-0.72035813	7.2816944	397.0566	4.930609	68.2098	0.06557377	1.9393344	6.444663	337.2959	3.445505	72.98467	0.032786883	-1.0606599	3.1128988	138.02625	2.1378055	35.98425	0.0	0.51641893	0.81524	33.124138	0.81510365	18.166506	0.13114753	1.4495935	0.5774256	23.567928	0.57727957	15.317739	0.21311475	-0.24308181	2.9482372	126.379036	2.9346704	42.211838	0.14754099
shake	10201	114	114_10201_260411000501100	-0.26212406	20.563389	998.3003	11.251549	247.6081	0.0	-0.22544312	18.08213	732.63794	17.895296	270.64792	0.0862069	-0.6668854	6.7188454	349.9581	5.0460706	71.01839	0.05172414	2.742908	7.1236644	343.46396	4.1961145	87.77652	0.05172414	-1.1750333	3.3839717	143.28358	2.312651	37.605682	0.0	1.5955405	0.9183487	35.238804	0.91794884	17.185762	0.0862069	0.076476574	0.4661357	20.115625	0.46568432	10.230152	0.18965517	-0.24851394	3.223448	130.88283	3.218536	45.57708	0.10344828
shake	10201	114	114_10201_260411000507324	-0.5153625	20.532446	972.3996	10.957334	228.80971	0.0	-0.3110993	17.903664	726.8737	17.633049	260.9666	0.08928572	-0.7792587	7.1409535	360.77127	5.221615	69.419975	0.05357143	5.189681	7.074385	315.7371	4.4229946	81.780106	0.05357143	-0.7566683	3.306087	133.39064	2.292684	37.882977	0.0	1.0374084	0.93677044	32.704025	0.9349554	15.222598	0.14285715	1.5698624	0.7308153	26.552774	0.7306797	15.25085	0.16071428	0.078522444	3.0852199	117.739746	3.07427	45.562885	0.10714286
shake	10201	114	114_10201_260411000509303	-0.028643131	19.8435	975.38324	10.975435	227.56448	0.0	0.0141432285	17.26266	709.2184	16.906809	253.67146	0.084745765	-0.90596366	6.955384	370.39038	5.0077934	69.05924	0.06779661	3.655901	6.8838754	342.26105	3.8040333	78.174126	0.033898305	-1.0124202	3.1434739	130.84897	2.2277532	40.703896	0.0	0.92041135	0.8149604	32.714703	0.8141563	14.943128	0.084745765	3.2071123	0.572614	21.231522	0.5709136	16.165615	0.13559322	-0.049075842	2.9815066	120.43062	2.976704	44.144142	0.118644066
shake	10201	114	114_10201_260411000513192	-0.43303633	22.212423	1067.0046	12.448114	247.30663	0.0	-0.11248493	19.537146	808.46765	19.08513	285.78622	0.0862069	-0.4293797	7.624177	394.33478	6.7243605	90.999054	0.05172414	3.8145742	7.318715	329.45218	4.667699	98.3498	0.12068965	-0.95949364	3.8425932	165.44846	2.5745735	41.634506	0.0	1.1470757	1.0010304	37.840015	0.99674577	22.955992	0.18965517	2.696166	0.71951485	27.879257	0.71930826	17.171566	0.18965517	-0.19854093	3.6394725	149.6002	3.6352737	52.693798	0.0862069
